batch_size: 1024
emb_size: 64
epoch: 40
hidden_size: 256
lr: 0.1
{'<pad>': 0, 'i-org': 1, 'o': 2, 'i-misc': 3, 'i-per': 4, 'i-loc': 5, 'b-loc': 6, 'b-misc': 7, 'b-org': 8}
['i-org', 'o', 'i-misc', 'i-per', 'i-loc', 'b-loc', 'b-misc', 'b-org']
1	precision: 0.4518118735604579	recall: 0.4827074721733858	f1-score: 0.45116936448971656
1	precision	recall	f1-score
i-org	0.0394	0.0303	0.0309
o	0.7791	0.8517	0.7866
i-misc	0.0022	0.0015	0.0017
i-per	0.0324	0.0301	0.0264
i-loc	0.0567	0.0667	0.0536
b-loc	0.0000	0.0000	0.0000
b-misc	0.0000	0.0000	0.0000
b-org	0.0000	0.0000	0.0000
2	precision: 0.6655246307161902	recall: 0.667491741370036	f1-score: 0.6577156119854669
2	precision	recall	f1-score
i-org	0.1144	0.0949	0.0990
o	0.9201	0.9666	0.9376
i-misc	0.0296	0.0238	0.0252
i-per	0.1347	0.1198	0.1216
i-loc	0.2037	0.2039	0.1956
b-loc	0.0000	0.0000	0.0000
b-misc	0.0000	0.0000	0.0000
b-org	0.0000	0.0000	0.0000
3	precision: 0.8278484582297253	recall: 0.8225414031862402	f1-score: 0.8191714187627479
3	precision	recall	f1-score
i-org	0.1966	0.1819	0.1834
o	0.9621	0.9740	0.9664
i-misc	0.0994	0.0924	0.0930
i-per	0.2235	0.2177	0.2170
i-loc	0.2805	0.2808	0.2753
b-loc	0.0000	0.0000	0.0000
b-misc	0.0000	0.0000	0.0000
b-org	0.0003	0.0002	0.0002
4	precision: 0.9179417843320411	recall: 0.913772321046882	f1-score: 0.9122516519043417
4	precision	recall	f1-score
i-org	0.2523	0.2428	0.2436
o	0.9711	0.9785	0.9740
i-misc	0.1446	0.1402	0.1403
i-per	0.2666	0.2633	0.2633
i-loc	0.3105	0.3079	0.3066
b-loc	0.0000	0.0000	0.0000
b-misc	0.0001	0.0001	0.0001
b-org	0.0004	0.0004	0.0004
5	precision: 0.9594584631450149	recall: 0.9573303734655866	f1-score: 0.9563237586605619
5	precision	recall	f1-score
i-org	0.2771	0.2730	0.2725
o	0.9757	0.9797	0.9772
i-misc	0.1642	0.1624	0.1619
i-per	0.2817	0.2798	0.2800
i-loc	0.3255	0.3234	0.3232
b-loc	0.0001	0.0001	0.0001
b-misc	0.0005	0.0005	0.0005
b-org	0.0004	0.0004	0.0004
6	precision: 0.976078425962829	recall: 0.9749053235186709	f1-score: 0.9742848934302137
6	precision	recall	f1-score
i-org	0.2891	0.2865	0.2864
o	0.9780	0.9805	0.9790
i-misc	0.1712	0.1702	0.1699
i-per	0.2855	0.2845	0.2847
i-loc	0.3320	0.3312	0.3309
b-loc	0.0001	0.0001	0.0001
b-misc	0.0006	0.0006	0.0006
b-org	0.0004	0.0004	0.0004
7	precision: 0.984401635061551	recall: 0.9836660406394792	f1-score: 0.9832330071704704
7	precision	recall	f1-score
i-org	0.2941	0.2926	0.2924
